时间戳,时间,均价,数据类型
1766073600000,2025-12-19 00:00:00,5213,sampled
1766082600000,2025-12-19 02:30:00,5164,sampled
1766095200000,2025-12-19 06:00:00,5271,sampled
1766106000000,2025-12-19 09:00:00,5328,sampled
1766116800000,2025-12-19 12:00:00,5213,sampled
1766127600000,2025-12-19 15:00:00,5161,sampled
1766138400000,2025-12-19 18:00:00,5360,sampled
1766149200000,2025-12-19 21:00:00,5185,sampled
1766160000000,2025-12-20 00:00:00,5333,sampled
1766170800000,2025-12-20 03:00:00,5320,sampled
1766181600000,2025-12-20 06:00:00,5309,sampled
1766192400000,2025-12-20 09:00:00,5255,sampled
1766203200000,2025-12-20 12:00:00,5280,sampled
1766214000000,2025-12-20 15:00:00,5230,sampled
1766224800000,2025-12-20 18:00:00,5233,sampled
1766235600000,2025-12-20 21:00:00,5117,sampled
1766246400000,2025-12-21 00:00:00,5327,sampled
1766257200000,2025-12-21 03:00:00,5290,sampled
1766268000000,2025-12-21 06:00:00,5283,sampled
1766278800000,2025-12-21 09:00:00,5202,sampled
1766289600000,2025-12-21 12:00:00,5259,sampled
1766300400000,2025-12-21 15:00:00,5230,sampled
1766311200000,2025-12-21 18:00:00,5302,sampled
1766322000000,2025-12-21 21:00:00,5129,sampled
1766332800000,2025-12-22 00:00:00,5303,sampled
1766343600000,2025-12-22 03:00:00,5223,sampled
1766354400000,2025-12-22 06:00:00,5279,sampled
1766365200000,2025-12-22 09:00:00,5226,sampled
1766376000000,2025-12-22 12:00:00,4955,sampled
1766386800000,2025-12-22 15:00:00,5128,sampled
1766397600000,2025-12-22 18:00:00,5225,sampled
1766408400000,2025-12-22 21:00:00,5139,sampled
1766419200000,2025-12-23 00:00:00,5294,sampled
1766430000000,2025-12-23 03:00:00,5310,sampled
1766440800000,2025-12-23 06:00:00,5272,sampled
1766451600000,2025-12-23 09:00:00,5211,sampled
1766462400000,2025-12-23 12:00:00,4812,sampled
1766473200000,2025-12-23 15:00:00,5091,sampled
1766484000000,2025-12-23 18:00:00,5168,sampled
1766494800000,2025-12-23 21:00:00,5241,sampled
1766505600000,2025-12-24 00:00:00,5366,sampled
1766516400000,2025-12-24 03:00:00,5415,sampled
1766527200000,2025-12-24 06:00:00,5365,sampled
1766538000000,2025-12-24 09:00:00,5289,sampled
1766548800000,2025-12-24 12:00:00,5124,sampled
1766559600000,2025-12-24 15:00:00,5269,sampled
1766570400000,2025-12-24 18:00:00,5373,sampled
1766581200000,2025-12-24 21:00:00,5275,sampled
1766592000000,2025-12-25 00:00:00,5628,sampled
1766602800000,2025-12-25 03:00:00,5355,sampled
1766613600000,2025-12-25 06:00:00,5422,sampled
1766624400000,2025-12-25 09:00:00,5307,sampled
1766635200000,2025-12-25 12:00:00,5253,sampled
1766646000000,2025-12-25 15:00:00,5239,sampled
1766656800000,2025-12-25 18:00:00,5146,sampled
1766667600000,2025-12-25 21:00:00,5308,sampled
1766678400000,2025-12-26 00:00:00,5559,sampled
1766689200000,2025-12-26 03:00:00,5336,sampled
1766700000000,2025-12-26 06:00:00,5403,sampled
1766710800000,2025-12-26 09:00:00,5356,sampled
1766721600000,2025-12-26 12:00:00,5226,sampled
1766732400000,2025-12-26 15:00:00,5165,sampled
1766743200000,2025-12-26 18:00:00,5404,sampled
1766754000000,2025-12-26 21:00:00,4726,sampled
1766764800000,2025-12-27 00:00:00,5368,sampled
1766775600000,2025-12-27 03:00:00,5306,sampled
1766786400000,2025-12-27 06:00:00,4880,sampled
1766797200000,2025-12-27 09:00:00,5007,sampled
1766808000000,2025-12-27 12:00:00,5283,sampled
1766817000000,2025-12-27 14:30:00,5416,sampled
1766829600000,2025-12-27 18:00:00,5470,sampled
1766840400000,2025-12-27 21:00:00,5155,sampled
1766849400000,2025-12-27 23:30:00,5286,sampled
1766862000000,2025-12-28 03:00:00,5226,sampled
1766872800000,2025-12-28 06:00:00,4536,sampled
1766883600000,2025-12-28 09:00:00,5293,sampled
1766894400000,2025-12-28 12:00:00,5052,sampled
1766905200000,2025-12-28 15:00:00,5131,sampled
1766916000000,2025-12-28 18:00:00,5331,sampled
1766926800000,2025-12-28 21:00:00,5146,sampled
1766937600000,2025-12-29 00:00:00,5433,sampled
1766948400000,2025-12-29 03:00:00,4950,sampled
1766959200000,2025-12-29 06:00:00,5145,sampled
1766970000000,2025-12-29 09:00:00,5213,sampled
1766980800000,2025-12-29 12:00:00,5181,sampled
1766989800000,2025-12-29 14:30:00,5196,sampled
1767002400000,2025-12-29 18:00:00,5391,sampled
1767013200000,2025-12-29 21:00:00,5266,sampled
1767024000000,2025-12-30 00:00:00,5677,sampled
1767034800000,2025-12-30 03:00:00,5418,sampled
1767045600000,2025-12-30 06:00:00,5372,sampled
1767054600000,2025-12-30 08:30:00,5229,sampled
1767067200000,2025-12-30 12:00:00,5304,sampled
1767078000000,2025-12-30 15:00:00,5242,sampled
1767088800000,2025-12-30 18:00:00,5405,sampled
1767099600000,2025-12-30 21:00:00,5211,sampled
1767110400000,2025-12-31 00:00:00,5580,sampled
1767121200000,2025-12-31 03:00:00,5468,sampled
1767132000000,2025-12-31 06:00:00,5515,sampled
1767142800000,2025-12-31 09:00:00,5212,sampled
1767153600000,2025-12-31 12:00:00,5285,sampled
1767164400000,2025-12-31 15:00:00,5317,sampled
1767175200000,2025-12-31 18:00:00,5462,sampled
1767186000000,2025-12-31 21:00:00,5373,sampled
1767196800000,2026-01-01 00:00:00,5487,sampled
1767207600000,2026-01-01 03:00:00,5495,sampled
1767218400000,2026-01-01 06:00:00,4842,sampled
1767229200000,2026-01-01 09:00:00,5215,sampled
1767240000000,2026-01-01 12:00:00,5244,sampled
1767250800000,2026-01-01 15:00:00,5151,sampled
1767261600000,2026-01-01 18:00:00,5335,sampled
1767272400000,2026-01-01 21:00:00,5262,sampled
1767283200000,2026-01-02 00:00:00,5314,sampled
1767294000000,2026-01-02 03:00:00,5281,sampled
1767304800000,2026-01-02 06:00:00,5253,sampled
1767315600000,2026-01-02 09:00:00,5216,sampled
1767326400000,2026-01-02 12:00:00,5220,sampled
1767337200000,2026-01-02 15:00:00,4868,sampled
1767348000000,2026-01-02 18:00:00,5368,sampled
1767358800000,2026-01-02 21:00:00,4849,sampled
1767369600000,2026-01-03 00:00:00,5213,sampled
1767380400000,2026-01-03 03:00:00,5305,sampled
1767391200000,2026-01-03 06:00:00,5190,sampled
1767402000000,2026-01-03 09:00:00,5253,sampled
1767412800000,2026-01-03 12:00:00,5055,sampled
1767423600000,2026-01-03 15:00:00,5288,sampled
1767434400000,2026-01-03 18:00:00,5243,sampled
1767445200000,2026-01-03 21:00:00,5012,sampled
1767456000000,2026-01-04 00:00:00,5205,sampled
1767466800000,2026-01-04 03:00:00,5167,sampled
