时间戳,时间,均价,数据类型
1766473200000,2025-12-23 15:00:00,530,sampled
1766484000000,2025-12-23 18:00:00,538,sampled
1766494800000,2025-12-23 21:00:00,539,sampled
1766505600000,2025-12-24 00:00:00,539,sampled
1766516400000,2025-12-24 03:00:00,478,sampled
1766527200000,2025-12-24 06:00:00,466,sampled
1766538000000,2025-12-24 09:00:00,501,sampled
1766548800000,2025-12-24 12:00:00,512,sampled
1766559600000,2025-12-24 15:00:00,535,sampled
1766570400000,2025-12-24 18:00:00,539,sampled
1766581200000,2025-12-24 21:00:00,539,sampled
1766592000000,2025-12-25 00:00:00,544,sampled
1766602800000,2025-12-25 03:00:00,474,sampled
1766613600000,2025-12-25 06:00:00,457,sampled
1766624400000,2025-12-25 09:00:00,498,sampled
1766635200000,2025-12-25 12:00:00,501,sampled
1766646000000,2025-12-25 15:00:00,519,sampled
1766656800000,2025-12-25 18:00:00,539,sampled
1766667600000,2025-12-25 21:00:00,550,sampled
1766678400000,2025-12-26 00:00:00,550,sampled
1766689200000,2025-12-26 03:00:00,460,sampled
1766700000000,2025-12-26 06:00:00,454,sampled
1766710800000,2025-12-26 09:00:00,490,sampled
1766721600000,2025-12-26 12:00:00,499,sampled
1766732400000,2025-12-26 15:00:00,500,sampled
1766743200000,2025-12-26 18:00:00,527,sampled
1766754000000,2025-12-26 21:00:00,546,sampled
1766764800000,2025-12-27 00:00:00,552,sampled
1766775600000,2025-12-27 03:00:00,460,sampled
1766786400000,2025-12-27 06:00:00,452,sampled
1766797200000,2025-12-27 09:00:00,491,sampled
1766808000000,2025-12-27 12:00:00,502,sampled
1766817000000,2025-12-27 14:30:00,533,sampled
1766829600000,2025-12-27 18:00:00,563,sampled
1766840400000,2025-12-27 21:00:00,581,sampled
1766849400000,2025-12-27 23:30:00,599,sampled
1766862000000,2025-12-28 03:00:00,474,sampled
1766872800000,2025-12-28 06:00:00,477,sampled
1766883600000,2025-12-28 09:00:00,534,sampled
1766894400000,2025-12-28 12:00:00,553,sampled
1766905200000,2025-12-28 15:00:00,583,sampled
1766916000000,2025-12-28 18:00:00,600,sampled
1766926800000,2025-12-28 21:00:00,599,sampled
1766937600000,2025-12-29 00:00:00,598,sampled
1766948400000,2025-12-29 03:00:00,486,sampled
1766959200000,2025-12-29 06:00:00,470,sampled
1766970000000,2025-12-29 09:00:00,531,sampled
1766980800000,2025-12-29 12:00:00,539,sampled
1766989800000,2025-12-29 14:30:00,545,sampled
1767002400000,2025-12-29 18:00:00,556,sampled
1767013200000,2025-12-29 21:00:00,559,sampled
1767024000000,2025-12-30 00:00:00,560,sampled
1767034800000,2025-12-30 03:00:00,477,sampled
1767045600000,2025-12-30 06:00:00,474,sampled
1767054600000,2025-12-30 08:30:00,514,sampled
1767067200000,2025-12-30 12:00:00,530,sampled
1767078000000,2025-12-30 15:00:00,548,sampled
1767088800000,2025-12-30 18:00:00,559,sampled
1767099600000,2025-12-30 21:00:00,559,sampled
1767110400000,2025-12-31 00:00:00,559,sampled
1767121200000,2025-12-31 03:00:00,481,sampled
1767132000000,2025-12-31 06:00:00,475,sampled
1767142800000,2025-12-31 09:00:00,530,sampled
1767153600000,2025-12-31 12:00:00,540,sampled
1767164400000,2025-12-31 15:00:00,555,sampled
1767175200000,2025-12-31 18:00:00,560,sampled
1767186000000,2025-12-31 21:00:00,576,sampled
1767196800000,2026-01-01 00:00:00,656,sampled
1767207600000,2026-01-01 03:00:00,509,sampled
1767218400000,2026-01-01 06:00:00,514,sampled
1767229200000,2026-01-01 09:00:00,591,sampled
1767240000000,2026-01-01 12:00:00,649,sampled
1767250800000,2026-01-01 15:00:00,692,sampled
1767261600000,2026-01-01 18:00:00,734,sampled
1767272400000,2026-01-01 21:00:00,739,sampled
1767283200000,2026-01-02 00:00:00,742,sampled
1767294000000,2026-01-02 03:00:00,543,sampled
1767304800000,2026-01-02 06:00:00,504,sampled
1767315600000,2026-01-02 09:00:00,580,sampled
1767326400000,2026-01-02 12:00:00,623,sampled
1767337200000,2026-01-02 15:00:00,655,sampled
1767348000000,2026-01-02 18:00:00,687,sampled
1767358800000,2026-01-02 21:00:00,658,sampled
1767369600000,2026-01-03 00:00:00,624,sampled
1767380400000,2026-01-03 03:00:00,499,sampled
1767391200000,2026-01-03 06:00:00,464,sampled
1767402000000,2026-01-03 09:00:00,503,sampled
1767412800000,2026-01-03 12:00:00,534,sampled
1767423600000,2026-01-03 15:00:00,555,sampled
1767434400000,2026-01-03 18:00:00,557,sampled
1767445200000,2026-01-03 21:00:00,544,sampled
1767456000000,2026-01-04 00:00:00,537,sampled
1767466800000,2026-01-04 03:00:00,463,sampled
1767477600000,2026-01-04 06:00:00,448,sampled
1767488400000,2026-01-04 09:00:00,485,sampled
1767499200000,2026-01-04 12:00:00,490,sampled
1767510000000,2026-01-04 15:00:00,490,sampled
1767520800000,2026-01-04 18:00:00,491,sampled
1767531600000,2026-01-04 21:00:00,498,sampled
1767542400000,2026-01-05 00:00:00,499,sampled
1767553200000,2026-01-05 03:00:00,467,sampled
1767564000000,2026-01-05 06:00:00,458,sampled
1767574800000,2026-01-05 09:00:00,500,sampled
1767585600000,2026-01-05 12:00:00,500,sampled
1767596400000,2026-01-05 15:00:00,501,sampled
1767607200000,2026-01-05 18:00:00,538,sampled
1767618000000,2026-01-05 21:00:00,539,sampled
1767628800000,2026-01-06 00:00:00,549,sampled
1767639600000,2026-01-06 03:00:00,474,sampled
1767650400000,2026-01-06 06:00:00,464,sampled
1767661200000,2026-01-06 09:00:00,500,sampled
1767672000000,2026-01-06 12:00:00,510,sampled
1767682800000,2026-01-06 15:00:00,533,sampled
1767693600000,2026-01-06 18:00:00,548,sampled
1767704400000,2026-01-06 21:00:00,549,sampled
1767715200000,2026-01-07 00:00:00,549,sampled
1767726000000,2026-01-07 03:00:00,473,sampled
1767736800000,2026-01-07 06:00:00,462,sampled
1767747600000,2026-01-07 09:00:00,499,sampled
1767758400000,2026-01-07 12:00:00,501,sampled
1767769200000,2026-01-07 15:00:00,517,sampled
1767780000000,2026-01-07 18:00:00,544,sampled
1767790800000,2026-01-07 21:00:00,549,sampled
1767801600000,2026-01-08 00:00:00,550,sampled
1767812400000,2026-01-08 03:00:00,475,sampled
1767823200000,2026-01-08 06:00:00,457,sampled
1767834000000,2026-01-08 09:00:00,500,sampled
1767844800000,2026-01-08 12:00:00,501,sampled
1767855600000,2026-01-08 15:00:00,528,sampled
1767866400000,2026-01-08 18:00:00,549,sampled
1767877200000,2026-01-08 21:00:00,549,sampled
1767888000000,2026-01-09 00:00:00,550,sampled
1767898800000,2026-01-09 03:00:00,468,sampled
1767909600000,2026-01-09 06:00:00,450,sampled
1767920400000,2026-01-09 09:00:00,491,sampled
1767931200000,2026-01-09 12:00:00,500,sampled
1767942000000,2026-01-09 15:00:00,500,sampled
1767952800000,2026-01-09 18:00:00,518,sampled
1767963600000,2026-01-09 21:00:00,539,sampled
1767974400000,2026-01-10 00:00:00,550,sampled
1767985200000,2026-01-10 03:00:00,462,sampled
1767996000000,2026-01-10 06:00:00,443,sampled
1768006800000,2026-01-10 09:00:00,487,sampled
1768017600000,2026-01-10 12:00:00,496,sampled
1768028400000,2026-01-10 15:00:00,526,sampled
1768039200000,2026-01-10 18:00:00,551,sampled
1768050000000,2026-01-10 21:00:00,558,sampled
1768060800000,2026-01-11 00:00:00,557,sampled
1768071600000,2026-01-11 03:00:00,463,sampled
1768082400000,2026-01-11 06:00:00,449,sampled
1768093200000,2026-01-11 09:00:00,491,sampled
1768104000000,2026-01-11 12:00:00,505,sampled
1768114800000,2026-01-11 15:00:00,551,sampled
1768125600000,2026-01-11 18:00:00,560,sampled
1768136400000,2026-01-11 21:00:00,559,sampled
1768147200000,2026-01-12 00:00:00,558,sampled
1768158000000,2026-01-12 03:00:00,468,sampled
1768168800000,2026-01-12 06:00:00,458,sampled
1768179600000,2026-01-12 09:00:00,499,sampled
1768190400000,2026-01-12 12:00:00,499,sampled
1768201200000,2026-01-12 15:00:00,507,sampled
1768210200000,2026-01-12 17:30:00,523,sampled
1768224600000,2026-01-12 21:30:00,539,sampled
1768233600000,2026-01-13 00:00:00,549,sampled
1768244400000,2026-01-13 03:00:00,467,sampled
1768255200000,2026-01-13 06:00:00,455,sampled
1768266000000,2026-01-13 09:00:00,492,sampled
1768276800000,2026-01-13 12:00:00,500,sampled
1768287600000,2026-01-13 15:00:00,507,sampled
1768298400000,2026-01-13 18:00:00,539,sampled
1768307400000,2026-01-13 20:30:00,548,sampled
1768320000000,2026-01-14 00:00:00,548,sampled
1768330800000,2026-01-14 03:00:00,470,sampled
1768341600000,2026-01-14 06:00:00,456,sampled
1768352400000,2026-01-14 09:00:00,495,sampled
1768363200000,2026-01-14 12:00:00,500,sampled
1768374000000,2026-01-14 15:00:00,506,sampled
1768384800000,2026-01-14 18:00:00,535,sampled
1768395600000,2026-01-14 21:00:00,539,sampled
1768406400000,2026-01-15 00:00:00,532,sampled
1768417200000,2026-01-15 03:00:00,460,sampled
1768428000000,2026-01-15 06:00:00,441,sampled
1768438800000,2026-01-15 09:00:00,458,sampled
1768449600000,2026-01-15 12:00:00,483,sampled
1768460400000,2026-01-15 15:00:00,491,sampled
1768471200000,2026-01-15 18:00:00,499,sampled
1768482000000,2026-01-15 21:00:00,520,sampled
1768492800000,2026-01-16 00:00:00,525,sampled
1768503600000,2026-01-16 03:00:00,444,sampled
1768514400000,2026-01-16 06:00:00,434,sampled
1768525200000,2026-01-16 09:00:00,468,sampled
1768536000000,2026-01-16 12:00:00,470,sampled
1768546800000,2026-01-16 15:00:00,480,sampled
1768557600000,2026-01-16 18:00:00,489,sampled
1768568400000,2026-01-16 21:00:00,500,sampled
1768579200000,2026-01-17 00:00:00,510,sampled
1768590000000,2026-01-17 03:00:00,428,sampled
1768600800000,2026-01-17 06:00:00,424,sampled
1768611600000,2026-01-17 09:00:00,446,sampled
1768622400000,2026-01-17 12:00:00,473,sampled
1768633200000,2026-01-17 15:00:00,495,sampled
1768644000000,2026-01-17 18:00:00,527,sampled
1768654800000,2026-01-17 21:00:00,539,sampled
1768665600000,2026-01-18 00:00:00,539,sampled
1768676400000,2026-01-18 03:00:00,450,sampled
1768687200000,2026-01-18 06:00:00,440,sampled
1768698000000,2026-01-18 09:00:00,481,sampled
1768708800000,2026-01-18 12:00:00,495,sampled
1768719600000,2026-01-18 15:00:00,537,sampled
1768730400000,2026-01-18 18:00:00,541,sampled
1768741200000,2026-01-18 21:00:00,549,sampled
1768750200000,2026-01-18 23:30:00,549,sampled
1768762800000,2026-01-19 03:00:00,466,sampled
1768773600000,2026-01-19 06:00:00,452,sampled
1768784400000,2026-01-19 09:00:00,491,sampled
1768795200000,2026-01-19 12:00:00,500,sampled
1768806000000,2026-01-19 15:00:00,516,sampled
1768816800000,2026-01-19 18:00:00,539,sampled
1768827600000,2026-01-19 21:00:00,544,sampled
1768892400000,2026-01-20 15:00:00,531,recent
1768896000000,2026-01-20 16:00:00,541,recent
1768899600000,2026-01-20 17:00:00,548,recent
1768903200000,2026-01-20 18:00:00,549,recent
1768910400000,2026-01-20 20:00:00,549,recent
1768914000000,2026-01-20 21:00:00,549,recent
1768917600000,2026-01-20 22:00:00,550,recent
1768921200000,2026-01-20 23:00:00,550,recent
1768924800000,2026-01-21 00:00:00,549,recent
1768928400000,2026-01-21 01:00:00,549,recent
1768932000000,2026-01-21 02:00:00,548,recent
1768939200000,2026-01-21 04:00:00,459,recent
1768942800000,2026-01-21 05:00:00,456,recent
1768946400000,2026-01-21 06:00:00,455,recent
1768950000000,2026-01-21 07:00:00,461,recent
1768953600000,2026-01-21 08:00:00,463,recent
1768957200000,2026-01-21 09:00:00,457,recent
1768978800000,2026-01-21 15:00:00,512,recent
1768982400000,2026-01-21 16:00:00,527,recent
1768986000000,2026-01-21 17:00:00,537,recent
1768989600000,2026-01-21 18:00:00,539,recent
1768993200000,2026-01-21 19:00:00,546,recent
1768996800000,2026-01-21 20:00:00,548,recent
1769000400000,2026-01-21 21:00:00,548,recent
1769004000000,2026-01-21 22:00:00,550,recent
1769007600000,2026-01-21 23:00:00,550,recent
