时间戳,时间,均价,数据类型
1767736800000,2026-01-07 06:00:00,555,sampled
1767747600000,2026-01-07 09:00:00,543,sampled
1767758400000,2026-01-07 12:00:00,555,sampled
1767769200000,2026-01-07 15:00:00,593,sampled
1767780000000,2026-01-07 18:00:00,556,sampled
1767790800000,2026-01-07 21:00:00,561,sampled
1767801600000,2026-01-08 00:00:00,570,sampled
1767812400000,2026-01-08 03:00:00,549,sampled
1767823200000,2026-01-08 06:00:00,541,sampled
1767834000000,2026-01-08 09:00:00,545,sampled
1767844800000,2026-01-08 12:00:00,581,sampled
1767855600000,2026-01-08 15:00:00,606,sampled
1767866400000,2026-01-08 18:00:00,581,sampled
1767877200000,2026-01-08 21:00:00,579,sampled
1767888000000,2026-01-09 00:00:00,604,sampled
1767898800000,2026-01-09 03:00:00,539,sampled
1767909600000,2026-01-09 06:00:00,558,sampled
1767920400000,2026-01-09 09:00:00,541,sampled
1767931200000,2026-01-09 12:00:00,574,sampled
1767942000000,2026-01-09 15:00:00,591,sampled
1767952800000,2026-01-09 18:00:00,612,sampled
1767963600000,2026-01-09 21:00:00,644,sampled
1767974400000,2026-01-10 00:00:00,664,sampled
1767985200000,2026-01-10 03:00:00,570,sampled
1767996000000,2026-01-10 06:00:00,564,sampled
1768006800000,2026-01-10 09:00:00,590,sampled
1768017600000,2026-01-10 12:00:00,699,sampled
1768028400000,2026-01-10 15:00:00,668,sampled
1768039200000,2026-01-10 18:00:00,664,sampled
1768050000000,2026-01-10 21:00:00,658,sampled
1768060800000,2026-01-11 00:00:00,631,sampled
1768071600000,2026-01-11 03:00:00,558,sampled
1768082400000,2026-01-11 06:00:00,568,sampled
1768093200000,2026-01-11 09:00:00,577,sampled
1768104000000,2026-01-11 12:00:00,672,sampled
1768114800000,2026-01-11 15:00:00,660,sampled
1768125600000,2026-01-11 18:00:00,671,sampled
1768136400000,2026-01-11 21:00:00,644,sampled
1768147200000,2026-01-12 00:00:00,566,sampled
1768158000000,2026-01-12 03:00:00,564,sampled
1768168800000,2026-01-12 06:00:00,571,sampled
1768179600000,2026-01-12 09:00:00,564,sampled
1768190400000,2026-01-12 12:00:00,574,sampled
1768201200000,2026-01-12 15:00:00,583,sampled
1768210200000,2026-01-12 17:30:00,550,sampled
1768224600000,2026-01-12 21:30:00,557,sampled
1768233600000,2026-01-13 00:00:00,528,sampled
1768244400000,2026-01-13 03:00:00,520,sampled
1768255200000,2026-01-13 06:00:00,530,sampled
1768266000000,2026-01-13 09:00:00,546,sampled
1768276800000,2026-01-13 12:00:00,545,sampled
1768287600000,2026-01-13 15:00:00,580,sampled
1768298400000,2026-01-13 18:00:00,557,sampled
1768307400000,2026-01-13 20:30:00,556,sampled
1768320000000,2026-01-14 00:00:00,534,sampled
1768330800000,2026-01-14 03:00:00,549,sampled
1768341600000,2026-01-14 06:00:00,557,sampled
1768352400000,2026-01-14 09:00:00,542,sampled
1768363200000,2026-01-14 12:00:00,571,sampled
1768374000000,2026-01-14 15:00:00,598,sampled
1768384800000,2026-01-14 18:00:00,577,sampled
1768395600000,2026-01-14 21:00:00,566,sampled
1768406400000,2026-01-15 00:00:00,547,sampled
1768417200000,2026-01-15 03:00:00,517,sampled
1768428000000,2026-01-15 06:00:00,517,sampled
1768438800000,2026-01-15 09:00:00,512,sampled
1768449600000,2026-01-15 12:00:00,543,sampled
1768460400000,2026-01-15 15:00:00,594,sampled
1768471200000,2026-01-15 18:00:00,573,sampled
1768482000000,2026-01-15 21:00:00,576,sampled
1768492800000,2026-01-16 00:00:00,588,sampled
1768503600000,2026-01-16 03:00:00,455,sampled
1768514400000,2026-01-16 06:00:00,475,sampled
1768525200000,2026-01-16 09:00:00,467,sampled
1768536000000,2026-01-16 12:00:00,467,sampled
1768546800000,2026-01-16 15:00:00,468,sampled
1768557600000,2026-01-16 18:00:00,475,sampled
1768568400000,2026-01-16 21:00:00,459,sampled
1768579200000,2026-01-17 00:00:00,461,sampled
1768590000000,2026-01-17 03:00:00,452,sampled
1768600800000,2026-01-17 06:00:00,460,sampled
1768611600000,2026-01-17 09:00:00,472,sampled
1768622400000,2026-01-17 12:00:00,486,sampled
1768633200000,2026-01-17 15:00:00,504,sampled
1768644000000,2026-01-17 18:00:00,558,sampled
1768654800000,2026-01-17 21:00:00,524,sampled
1768665600000,2026-01-18 00:00:00,499,sampled
1768676400000,2026-01-18 03:00:00,481,sampled
1768687200000,2026-01-18 06:00:00,503,sampled
1768698000000,2026-01-18 09:00:00,512,sampled
1768708800000,2026-01-18 12:00:00,556,sampled
1768719600000,2026-01-18 15:00:00,563,sampled
1768730400000,2026-01-18 18:00:00,562,sampled
1768741200000,2026-01-18 21:00:00,551,sampled
1768750200000,2026-01-18 23:30:00,540,sampled
1768762800000,2026-01-19 03:00:00,483,sampled
1768773600000,2026-01-19 06:00:00,505,sampled
1768784400000,2026-01-19 09:00:00,487,sampled
1768795200000,2026-01-19 12:00:00,500,sampled
1768806000000,2026-01-19 15:00:00,478,sampled
1768816800000,2026-01-19 18:00:00,458,sampled
1768827600000,2026-01-19 21:00:00,453,sampled
1768838400000,2026-01-20 00:00:00,444,sampled
1768849200000,2026-01-20 03:00:00,443,sampled
1768860000000,2026-01-20 06:00:00,442,sampled
1768870800000,2026-01-20 09:00:00,441,sampled
1768881600000,2026-01-20 12:00:00,465,sampled
1768892400000,2026-01-20 15:00:00,447,sampled
1768903200000,2026-01-20 18:00:00,446,sampled
1768914000000,2026-01-20 21:00:00,446,sampled
1768924800000,2026-01-21 00:00:00,442,sampled
1768933800000,2026-01-21 02:30:00,430,sampled
1768946400000,2026-01-21 06:00:00,440,sampled
1768957200000,2026-01-21 09:00:00,468,sampled
1768978800000,2026-01-21 15:00:00,451,sampled
1768989600000,2026-01-21 18:00:00,450,sampled
1769000400000,2026-01-21 21:00:00,443,sampled
1769011200000,2026-01-22 00:00:00,437,sampled
1769022000000,2026-01-22 03:00:00,423,sampled
1769032800000,2026-01-22 06:00:00,435,sampled
1769043600000,2026-01-22 09:00:00,443,sampled
1769054400000,2026-01-22 12:00:00,447,sampled
1769065200000,2026-01-22 15:00:00,448,sampled
1769076000000,2026-01-22 18:00:00,443,sampled
1769086800000,2026-01-22 21:00:00,447,sampled
1769097600000,2026-01-23 00:00:00,442,sampled
1769108400000,2026-01-23 03:00:00,419,sampled
1769119200000,2026-01-23 06:00:00,431,sampled
1769130000000,2026-01-23 09:00:00,430,sampled
1769140800000,2026-01-23 12:00:00,431,sampled
1769151600000,2026-01-23 15:00:00,445,sampled
1769162400000,2026-01-23 18:00:00,445,sampled
1769173200000,2026-01-23 21:00:00,446,sampled
1769184000000,2026-01-24 00:00:00,446,sampled
1769194800000,2026-01-24 03:00:00,426,sampled
1769205600000,2026-01-24 06:00:00,428,sampled
1769216400000,2026-01-24 09:00:00,428,sampled
1769227200000,2026-01-24 12:00:00,443,sampled
1769238000000,2026-01-24 15:00:00,453,sampled
1769248800000,2026-01-24 18:00:00,450,sampled
1769259600000,2026-01-24 21:00:00,452,sampled
1769270400000,2026-01-25 00:00:00,434,sampled
1769281200000,2026-01-25 03:00:00,416,sampled
1769292000000,2026-01-25 06:00:00,426,sampled
1769302800000,2026-01-25 09:00:00,420,sampled
1769313600000,2026-01-25 12:00:00,438,sampled
1769322600000,2026-01-25 14:30:00,450,sampled
1769335200000,2026-01-25 18:00:00,454,sampled
1769346000000,2026-01-25 21:00:00,448,sampled
1769356800000,2026-01-26 00:00:00,439,sampled
1769367600000,2026-01-26 03:00:00,421,sampled
1769378400000,2026-01-26 06:00:00,437,sampled
1769389200000,2026-01-26 09:00:00,420,sampled
1769400000000,2026-01-26 12:00:00,445,sampled
1769410800000,2026-01-26 15:00:00,452,sampled
1769421600000,2026-01-26 18:00:00,453,sampled
1769432400000,2026-01-26 21:00:00,451,sampled
1769443200000,2026-01-27 00:00:00,447,sampled
1769454000000,2026-01-27 03:00:00,446,sampled
1769464800000,2026-01-27 06:00:00,461,sampled
1769475600000,2026-01-27 09:00:00,428,sampled
1769486400000,2026-01-27 12:00:00,459,sampled
1769497200000,2026-01-27 15:00:00,455,sampled
1769508000000,2026-01-27 18:00:00,459,sampled
1769520600000,2026-01-27 21:30:00,457,sampled
1769529600000,2026-01-28 00:00:00,452,sampled
1769540400000,2026-01-28 03:00:00,456,sampled
1769551200000,2026-01-28 06:00:00,471,sampled
1769560200000,2026-01-28 08:30:00,455,sampled
1769572800000,2026-01-28 12:00:00,476,sampled
1769583600000,2026-01-28 15:00:00,492,sampled
1769594400000,2026-01-28 18:00:00,500,sampled
1769605200000,2026-01-28 21:00:00,491,sampled
1769670000000,2026-01-29 15:00:00,532,recent
1769673600000,2026-01-29 16:00:00,558,recent
1769677200000,2026-01-29 17:00:00,566,recent
1769680800000,2026-01-29 18:00:00,587,recent
1769684400000,2026-01-29 19:00:00,591,recent
1769688000000,2026-01-29 20:00:00,593,recent
1769691600000,2026-01-29 21:00:00,594,recent
1769695200000,2026-01-29 22:00:00,594,recent
1769698800000,2026-01-29 23:00:00,632,recent
1769702400000,2026-01-30 00:00:00,634,recent
1769706000000,2026-01-30 01:00:00,631,recent
1769709600000,2026-01-30 02:00:00,592,recent
1769713200000,2026-01-30 03:00:00,521,recent
1769716800000,2026-01-30 04:00:00,541,recent
1769720400000,2026-01-30 05:00:00,578,recent
1769724000000,2026-01-30 06:00:00,590,recent
1769727600000,2026-01-30 07:00:00,609,recent
1769731200000,2026-01-30 08:00:00,600,recent
1769734800000,2026-01-30 09:00:00,600,recent
1769738400000,2026-01-30 10:00:00,609,recent
1769749200000,2026-01-30 13:00:00,651,recent
1769752800000,2026-01-30 14:00:00,650,recent
1769756400000,2026-01-30 15:00:00,656,recent
1769760000000,2026-01-30 16:00:00,648,recent
1769763600000,2026-01-30 17:00:00,649,recent
1769767200000,2026-01-30 18:00:00,662,recent
1769770800000,2026-01-30 19:00:00,674,recent
1769774400000,2026-01-30 20:00:00,670,recent
1769778000000,2026-01-30 21:00:00,673,recent
1769781600000,2026-01-30 22:00:00,670,recent
1769785200000,2026-01-30 23:00:00,667,recent
1769788800000,2026-01-31 00:00:00,670,recent
1769792400000,2026-01-31 01:00:00,654,recent
1769796000000,2026-01-31 02:00:00,636,recent
1769799600000,2026-01-31 03:00:00,595,recent
1769803200000,2026-01-31 04:00:00,650,recent
1769806800000,2026-01-31 05:00:00,662,recent
1769810400000,2026-01-31 06:00:00,656,recent
1769814000000,2026-01-31 07:00:00,657,recent
1769817600000,2026-01-31 08:00:00,668,recent
1769821200000,2026-01-31 09:00:00,661,recent
1769824800000,2026-01-31 10:00:00,691,recent
1769828400000,2026-01-31 11:00:00,698,recent
1769832000000,2026-01-31 12:00:00,722,recent
1769835600000,2026-01-31 13:00:00,725,recent
